,filename,beginposition,relativeorbitnumber,cloudcoverpercentage,orbitdirection,tileid,tileid_acquisitiondate,month,day_of_year,year
7ddcefde-e773-4ba0-b4f2-7995bb8ceffb,S2B_MSIL2A_20220922T104649_N0400_R051_T31UDP_20220922T133521.SAFE,2022-09-22 10:46:49.024,51,8.682028,DESCENDING,T31UDP,T31UDP_20220922T104649,09,265,2022
518a9c47-5350-4c10-9081-dc2de28a69c0,S2B_MSIL2A_20220912T104629_N0400_R051_T31UDP_20220912T134234.SAFE,2022-09-12 10:46:29.024,51,36.590311,DESCENDING,T31UDP,T31UDP_20220912T104629,09,255,2022
10b8e8bb-8c76-4bd4-9a12-0b65a82acfdb,S2A_MSIL2A_20220907T105041_N0400_R051_T31UDP_20220907T165703.SAFE,2022-09-07 10:50:41.024,51,100.0,DESCENDING,T31UDP,T31UDP_20220907T105041,09,250,2022
e54aa4aa-0b81-423b-b31e-cfb9ae5807fc,S2B_MSIL2A_20220902T104619_N0400_R051_T31UDP_20220902T121749.SAFE,2022-09-02 10:46:19.024,51,93.240869,ASCENDING,T31UDP,T31UDP_20220902T104619,09,245,2022
156180c8-5249-4364-a808-6e917b3a1acb,S2A_MSIL2A_20220828T104631_N0400_R051_T31UDP_20220828T184000.SAFE,2022-08-28 10:46:31.024,51,42.023697,ASCENDING,T31UDP,T31UDP_20220828T104631,08,240,2022
5b278173-2b91-482f-a264-cb4e35d7f28a,S2B_MSIL2A_20220823T104619_N0400_R051_T31UDP_20220823T134430.SAFE,2022-08-23 10:46:19.024,51,82.635623,DESCENDING,T31UDP,T31UDP_20220823T104619,08,235,2022
2165bf04-82ad-4813-894f-af6780297612,S2A_MSIL2A_20220818T104631_N0400_R051_T31UDP_20220818T171757.SAFE,2022-08-18 10:46:31.024,51,24.673747,ASCENDING,T31UDP,T31UDP_20220818T104631,08,230,2022
ea8ed130-0070-4259-8eae-9f3ea23671aa,S2B_MSIL2A_20220813T104629_N0400_R051_T31UDP_20220813T122218.SAFE,2022-08-13 10:46:29.024,51,0.002094,ASCENDING,T31UDP,T31UDP_20220813T104629,08,225,2022
ee80adae-8ff7-458d-8694-266469fb1fec,S2A_MSIL2A_20220808T104631_N0400_R051_T31UDP_20220808T165600.SAFE,2022-08-08 10:46:31.024,51,0.678624,ASCENDING,T31UDP,T31UDP_20220808T104631,08,220,2022
a1641144-9bd9-41fe-bf54-caeb45dd065c,S2B_MSIL2A_20220803T104629_N0400_R051_T31UDP_20220803T122243.SAFE,2022-08-03 10:46:29.024,51,0.001579,ASCENDING,T31UDP,T31UDP_20220803T104629,08,215,2022
