,filename,beginposition,relativeorbitnumber,cloudcoverpercentage,orbitdirection,tileid,tileid_acquisitiondate,month,day_of_year,year
41074804-eef2-4751-9b7f-b8c6a8487ebf,S2A_MSIL2A_20210131T111311_N0214_R137_T30UXC_20210131T135937.SAFE,2021-01-31 11:13:11.024,137,99.39587300000001,DESCENDING,T30UXC,T30UXC_20210131T111311,01,031,2021
c5be5660-7603-4bd6-8719-3dcd1cb1dbdb,S2B_MSIL2A_20210129T112229_N0214_R037_T30UXC_20210129T132515.SAFE,2021-01-29 11:22:29.024,37,37.08849,DESCENDING,T30UXC,T30UXC_20210129T112229,01,029,2021
cc4e5258-6dda-46bb-a8e8-0d2519830f28,S2B_MSIL2A_20210126T111239_N0214_R137_T30UXC_20210126T131506.SAFE,2021-01-26 11:12:39.024,137,99.898882,DESCENDING,T30UXC,T30UXC_20210126T111239,01,026,2021
4a1e7427-82c7-406d-90a7-8f4a3bd779ce,S2A_MSIL2A_20210124T112351_N0214_R037_T30UXC_20210124T141148.SAFE,2021-01-24 11:23:51.024,37,87.850047,DESCENDING,T30UXC,T30UXC_20210124T112351,01,024,2021
7db3ef48-036c-44f2-a3eb-2619bee030aa,S2A_MSIL2A_20210121T111351_N0214_R137_T30UXC_20210121T140729.SAFE,2021-01-21 11:13:51.024,137,53.776838,DESCENDING,T30UXC,T30UXC_20210121T111351,01,021,2021
b737ed23-8755-4d4d-8a72-e7eef5bebad3,S2B_MSIL2A_20210119T112309_N0214_R037_T30UXC_20210119T132541.SAFE,2021-01-19 11:23:09.024,37,99.997363,DESCENDING,T30UXC,T30UXC_20210119T112309,01,019,2021
625d2c15-1c1d-4668-8b4a-3bad03329506,S2B_MSIL2A_20210116T111319_N0214_R137_T30UXC_20210116T131701.SAFE,2021-01-16 11:13:19.024,137,82.249722,DESCENDING,T30UXC,T30UXC_20210116T111319,01,016,2021
a78c32a4-d9fa-4f72-9b01-31a34fe0b926,S2A_MSIL2A_20210114T112431_N0214_R037_T30UXC_20210114T141634.SAFE,2021-01-14 11:24:31.024,37,92.131146,DESCENDING,T30UXC,T30UXC_20210114T112431,01,014,2021
9588d474-896b-4c22-aa32-7bcc13178ffb,S2A_MSIL2A_20210111T111431_N0214_R137_T30UXC_20210111T140416.SAFE,2021-01-11 11:14:31.024,137,99.88183499999998,DESCENDING,T30UXC,T30UXC_20210111T111431,01,011,2021
8326e4f2-600f-4452-bfe0-dde9f66a669d,S2B_MSIL2A_20210109T112339_N0214_R037_T30UXC_20210109T132701.SAFE,2021-01-09 11:23:39.024,37,93.731148,DESCENDING,T30UXC,T30UXC_20210109T112339,01,009,2021
